"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD020","","53132","63271","Director","3.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD020","","44671","53196","Team Leader","16.80","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","","44671","53196","Team Leader","1.00","Finance"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","","44671","53196","Team Leader","1.00","Human Resources"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD020","","44671","53196","Team Leader","2.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD020","","44671","53196","Team Leader","2.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","AA","16284","17560","Administrative Assistant","1.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","AO","18515","21226","Administrative Officer","5.30","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","AO","18515","21226","Administrative Officer","1.00","Human Resources"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","AO","18515","21226","Administrative Officer","1.00","Finance"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD020","AO","18515","21226","Admin Support Officer","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD020","AO","18515","21226","IT Support Officer","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","H","27398","33159","HR Adviser","2.00","Human Resources"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","H","27398","33159","Communications & Corporate Governance Adviser","1.50","Communications"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","H","27398","33159","Finance & Procurement Adviser","1.89","Finance"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","H","27398","33159","Adviser","1.75","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD020","H","27398","33159","Adviser","47.97","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD020","H","27398","33159","Adviser","6.89","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","O","22143","26945","Finance Officer","1.00","Finance"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","O","22143","26945","HR Officer","1.60","Human Resources"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","O","22143","26945","Communications Support Officer","1.00","Communications"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","O","22143","26945","Office Manager","2.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD020","O","22143","26945","Officer","11.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD020","O","22143","26945","Officer","3.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","S","35175","41889","Finance Manager","2.00","Finance"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","S","35175","41889","HR Manager","0.69","Human Resources"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD021","S","35175","41889","Communications Manager","2.00","Communications"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD020","S","35175","41889","Senior Adviser","55.40","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD020","S","35175","41889","IT Manager","1.00","Information Technology"
